,noise_level,likelihood,method,run
0,2,0.09278345457222863,pmlat,0
1,2,0.09151295699712429,pmlat,1
2,2,0.09093527882751387,pmlat,2
3,2,0.08945259053735621,pmlat,3
4,2,0.09118156193176422,pmlat,4
5,2,0.08810378156885688,pmlat,5
6,2,0.09005929408006966,pmlat,6
7,2,0.0964252260947693,pmlat,7
8,2,0.09361418393187394,pmlat,8
9,2,0.0989398572658076,pmlat,9
10,2,0.09336421927797778,pmlat,10
11,2,0.09566952148010346,pmlat,11
12,2,0.09881051431315867,pmlat,12
13,2,0.09463673684997925,pmlat,13
14,2,0.09249423516372823,pmlat,14
15,2,0.09673787916972071,pmlat,15
16,2,0.0937289790053563,pmlat,16
17,2,0.09157062663544255,pmlat,17
18,2,0.09041884117016365,pmlat,18
19,2,0.0977543957918345,pmlat,19
20,2,0.09886673941606967,pmlat,20
21,2,0.0894807823117202,pmlat,21
22,2,0.09610280679834687,pmlat,22
23,2,0.09303377432364868,pmlat,23
24,2,0.09526153763016278,pmlat,24
25,2,0.0970253725969013,pmlat,25
26,2,0.09228817384767235,pmlat,26
27,2,0.09706698943395806,pmlat,27
28,2,0.0962215987103767,pmlat,28
29,2,0.09600236887685464,pmlat,29
30,3,0.04907550588698907,pmlat,0
31,3,0.05158729007215419,pmlat,1
32,3,0.048683030549617964,pmlat,2
33,3,0.04698040041479929,pmlat,3
34,3,0.048609968126621175,pmlat,4
35,3,0.0484298732072432,pmlat,5
36,3,0.05336203121649449,pmlat,6
37,3,0.04887858836996931,pmlat,7
38,3,0.04850421521099242,pmlat,8
39,3,0.048766970919713146,pmlat,9
40,3,0.04787959574393144,pmlat,10
41,3,0.04912098734125579,pmlat,11
42,3,0.04941852401434654,pmlat,12
43,3,0.04834543294017951,pmlat,13
44,3,0.048113323960602195,pmlat,14
45,3,0.04692550410152828,pmlat,15
46,3,0.047417803954446065,pmlat,16
47,3,0.04988453254348483,pmlat,17
48,3,0.0469191363776016,pmlat,18
49,3,0.049795987918534734,pmlat,19
50,3,0.048281223092509575,pmlat,20
51,3,0.04679833294587055,pmlat,21
52,3,0.04638737002023739,pmlat,22
53,3,0.04679425045992259,pmlat,23
54,3,0.04765131846886655,pmlat,24
55,3,0.04711524843308032,pmlat,25
56,3,0.0493569467954655,pmlat,26
57,3,0.050050017591184014,pmlat,27
58,3,0.04977970974976028,pmlat,28
59,3,0.04921158105306404,pmlat,29
60,4,0.030008309875920666,pmlat,0
61,4,0.029626413298244985,pmlat,1
62,4,0.027134104123817886,pmlat,2
63,4,0.027136857762715162,pmlat,3
64,4,0.028008468721828488,pmlat,4
65,4,0.028283995449288855,pmlat,5
66,4,0.027842966153737207,pmlat,6
67,4,0.02842415837063063,pmlat,7
68,4,0.02912209508669892,pmlat,8
69,4,0.02814760158312649,pmlat,9
70,4,0.030568495156156984,pmlat,10
71,4,0.027679967709035164,pmlat,11
72,4,0.02902052867192136,pmlat,12
73,4,0.025376384061881942,pmlat,13
74,4,0.02639738232672414,pmlat,14
75,4,0.02954737786022899,pmlat,15
76,4,0.027543481517680476,pmlat,16
77,4,0.02817457516597904,pmlat,17
78,4,0.028666963366679267,pmlat,18
79,4,0.02865297652796423,pmlat,19
80,4,0.029033323336756584,pmlat,20
81,4,0.028957621828164685,pmlat,21
82,4,0.029579805237732185,pmlat,22
83,4,0.028049331187269246,pmlat,23
84,4,0.03122387112445274,pmlat,24
85,4,0.028134499702828938,pmlat,25
86,4,0.028661731252576237,pmlat,26
87,4,0.028950424990244437,pmlat,27
88,4,0.029509565362012092,pmlat,28
89,4,0.0306656326377833,pmlat,29
90,5,0.019218048113063088,pmlat,0
91,5,0.017641114662774453,pmlat,1
