,noise_level,distance,method,run
0,2,3.713294810563484,MAPMLAT,0
1,2,3.615635748239763,MAPMLAT,1
2,2,3.595040273758282,MAPMLAT,2
3,2,3.6176239297027,MAPMLAT,3
4,2,3.4778757398060898,MAPMLAT,4
5,2,3.5124027095747308,MAPMLAT,5
6,2,3.5704297198665604,MAPMLAT,6
7,2,3.6098968106167315,MAPMLAT,7
8,2,3.6398934986335343,MAPMLAT,8
9,2,3.5405137584266066,MAPMLAT,9
10,2,3.6049844464802314,MAPMLAT,10
11,2,3.6001529568219266,MAPMLAT,11
12,2,3.582753562403397,MAPMLAT,12
13,2,3.558638195943713,MAPMLAT,13
14,2,3.5850315263257153,MAPMLAT,14
15,2,3.674319415459496,MAPMLAT,15
16,2,3.556977302367174,MAPMLAT,16
17,2,3.6157941496103208,MAPMLAT,17
18,2,3.581625198017721,MAPMLAT,18
19,2,3.4668569611695137,MAPMLAT,19
20,2,3.5848861632575946,MAPMLAT,20
21,2,3.617420648955338,MAPMLAT,21
22,2,3.6863499895776357,MAPMLAT,22
23,2,3.569183001835519,MAPMLAT,23
24,2,3.4993999508536175,MAPMLAT,24
25,2,3.641885858785327,MAPMLAT,25
26,2,3.662420585762565,MAPMLAT,26
27,2,3.5957625532487456,MAPMLAT,27
28,2,3.6343177350832017,MAPMLAT,28
29,2,3.5613843387701944,MAPMLAT,29
30,3,3.478028831377229,MAPMLAT,0
31,3,3.655139231849016,MAPMLAT,1
32,3,3.3918295309512083,MAPMLAT,2
33,3,3.5783528508901497,MAPMLAT,3
34,3,3.494024867771927,MAPMLAT,4
35,3,3.5652979118310957,MAPMLAT,5
36,3,3.492669009677943,MAPMLAT,6
37,3,3.5444313514388885,MAPMLAT,7
38,3,3.412341897505845,MAPMLAT,8
39,3,3.5296883426023884,MAPMLAT,9
40,3,3.479781903547816,MAPMLAT,10
41,3,3.4497230213662387,MAPMLAT,11
42,3,3.4485177194991943,MAPMLAT,12
43,3,3.5699844023932354,MAPMLAT,13
44,3,3.573932771253974,MAPMLAT,14
45,3,3.585343285735139,MAPMLAT,15
46,3,3.4326047371229835,MAPMLAT,16
47,3,3.5046551936336066,MAPMLAT,17
48,3,3.379653743809123,MAPMLAT,18
49,3,3.5457080223186415,MAPMLAT,19
50,3,3.549066077646082,MAPMLAT,20
51,3,3.468111129007649,MAPMLAT,21
52,3,3.470077659966232,MAPMLAT,22
53,3,3.5138805943787963,MAPMLAT,23
54,3,3.5772617276592134,MAPMLAT,24
55,3,3.4829096390014587,MAPMLAT,25
56,3,3.6250851063568534,MAPMLAT,26
57,3,3.4863914978322557,MAPMLAT,27
58,3,3.378096539667653,MAPMLAT,28
59,3,3.3609596919154723,MAPMLAT,29
60,4,3.435509582013525,MAPMLAT,0
61,4,3.334944535446184,MAPMLAT,1
62,4,3.5068596671989023,MAPMLAT,2
63,4,3.220311747803051,MAPMLAT,3
64,4,3.4288517627846042,MAPMLAT,4
65,4,3.3969038621566137,MAPMLAT,5
66,4,3.2914674125081267,MAPMLAT,6
67,4,3.471237830040678,MAPMLAT,7
68,4,3.3354075531015384,MAPMLAT,8
69,4,3.301350856419146,MAPMLAT,9
70,4,3.177116474867223,MAPMLAT,10
71,4,3.4605329129461646,MAPMLAT,11
72,4,3.287237317571597,MAPMLAT,12
73,4,3.192613358498067,MAPMLAT,13
74,4,3.3784269358040633,MAPMLAT,14
75,4,3.4350367231797487,MAPMLAT,15
76,4,3.5609564814690655,MAPMLAT,16
77,4,3.38622967770904,MAPMLAT,17
78,4,3.2647133371852566,MAPMLAT,18
79,4,3.3998430866467464,MAPMLAT,19
80,4,3.3359964722391657,MAPMLAT,20
81,4,3.258291467983387,MAPMLAT,21
82,4,3.5403417195858267,MAPMLAT,22
83,4,3.3339071015556794,MAPMLAT,23
84,4,3.2899961946815464,MAPMLAT,24
85,4,3.557990974254857,MAPMLAT,25
86,4,3.3640719854706806,MAPMLAT,26
87,4,3.198586195332061,MAPMLAT,27
88,4,3.298008133053999,MAPMLAT,28
89,4,3.26968304949979,MAPMLAT,29
90,5,3.2241863158805844,MAPMLAT,0
91,5,3.3310734531281305,MAPMLAT,1
92,5,3.272066166308266,MAPMLAT,2
93,5,3.121175536003651,MAPMLAT,3
94,5,3.3390182721483193,MAPMLAT,4
95,5,3.0153381860831567,MAPMLAT,5
96,5,3.164057467499164,MAPMLAT,6
97,5,3.177631088566684,MAPMLAT,7
98,5,3.014871089428812,MAPMLAT,8
99,5,3.0863570743803384,MAPMLAT,9
100,5,3.0585782333859757,MAPMLAT,10
101,5,2.983118114522221,MAPMLAT,11
102,5,3.1201309666129404,MAPMLAT,12
103,5,3.3996401136072096,MAPMLAT,13
104,5,2.952889057858722,MAPMLAT,14
105,5,3.134448613537765,MAPMLAT,15
106,5,2.998925399982143,MAPMLAT,16
107,5,3.2309225486377438,MAPMLAT,17
108,5,3.2587908179832756,MAPMLAT,18
109,5,3.1318094897018587,MAPMLAT,19
110,5,2.970521394675696,MAPMLAT,20
111,5,2.9930022702353223,MAPMLAT,21
112,5,3.0786388415206583,MAPMLAT,22
113,5,2.959659185833836,MAPMLAT,23
114,5,3.1986254943873975,MAPMLAT,24
115,5,3.115809807368865,MAPMLAT,25
116,5,3.1179256751958833,MAPMLAT,26
117,5,3.194379817959668,MAPMLAT,27
118,5,3.2523401405498253,MAPMLAT,28
119,5,3.119913720321934,MAPMLAT,29
120,6,2.8609000701136975,MAPMLAT,0
121,6,3.0919796845952794,MAPMLAT,1
122,6,2.702932918349386,MAPMLAT,2
123,6,2.787760852187846,MAPMLAT,3
124,6,2.742263160262829,MAPMLAT,4
125,6,2.8698727623466103,MAPMLAT,5
126,6,3.0201458904001113,MAPMLAT,6
127,6,2.73578100919126,MAPMLAT,7
128,6,2.943032159399983,MAPMLAT,8
129,6,3.083419866492467,MAPMLAT,9
130,6,2.695813108991942,MAPMLAT,10
131,6,2.9862476258573176,MAPMLAT,11
132,6,3.0043660410825805,MAPMLAT,12
133,6,2.845246302188997,MAPMLAT,13
134,6,2.6767790745746645,MAPMLAT,14
135,6,2.9555686555104543,MAPMLAT,15
136,6,3.063575960911292,MAPMLAT,16
137,6,2.9095812678270017,MAPMLAT,17
138,6,2.932030491384074,MAPMLAT,18
139,6,2.8673968942729635,MAPMLAT,19
140,6,3.0809027380372838,MAPMLAT,20
141,6,2.8259895992095063,MAPMLAT,21
142,6,2.8769278365868542,MAPMLAT,22
143,6,3.0308342247227444,MAPMLAT,23
144,6,2.8554888566221948,MAPMLAT,24
145,6,3.0764719500529623,MAPMLAT,25
146,6,2.702531305975441,MAPMLAT,26
147,6,2.88467359010774,MAPMLAT,27
148,6,2.936451021297335,MAPMLAT,28
149,6,2.93555182129628,MAPMLAT,29
150,7,2.6372839940612844,MAPMLAT,0
151,7,2.6403063969234997,MAPMLAT,1
152,7,2.641269783388078,MAPMLAT,2
153,7,2.7296670092936006,MAPMLAT,3
154,7,3.029676780720053,MAPMLAT,4
155,7,2.7083883042161356,MAPMLAT,5
156,7,2.6541751724269056,MAPMLAT,6
157,7,2.5039008946087002,MAPMLAT,7
158,7,2.8676142608070267,MAPMLAT,8
159,7,2.730798972087341,MAPMLAT,9
160,7,2.6233289001479054,MAPMLAT,10
161,7,2.4967001871493073,MAPMLAT,11
162,7,2.359403881279713,MAPMLAT,12
163,7,2.7131450685325653,MAPMLAT,13
164,7,2.5276141167499873,MAPMLAT,14
165,7,2.7830729751053616,MAPMLAT,15
166,7,2.508332223352339,MAPMLAT,16
167,7,2.694076694392878,MAPMLAT,17
168,7,2.6166455733671583,MAPMLAT,18
169,7,2.617429949807057,MAPMLAT,19
170,7,2.6529498717721367,MAPMLAT,20
171,7,2.7906904252176035,MAPMLAT,21
172,7,2.3913132294402466,MAPMLAT,22
173,7,2.497083570875382,MAPMLAT,23
174,7,2.5506685936753084,MAPMLAT,24
175,7,2.3289701097881377,MAPMLAT,25
176,7,2.4832544597951514,MAPMLAT,26
177,7,2.653173386897494,MAPMLAT,27
178,7,2.752638730116503,MAPMLAT,28
179,7,2.6851735450620065,MAPMLAT,29
180,8,2.5108725861174146,MAPMLAT,0
181,8,2.007770728085488,MAPMLAT,1
182,8,2.0856379519630703,MAPMLAT,2
183,8,2.2870606618919633,MAPMLAT,3
184,8,2.3738801545602968,MAPMLAT,4
185,8,2.588005499685345,MAPMLAT,5
186,8,2.6708018747445017,MAPMLAT,6
187,8,2.2563904427013406,MAPMLAT,7
188,8,2.0326358398726367,MAPMLAT,8
189,8,2.1704153574619305,MAPMLAT,9
190,8,2.5310342932795016,MAPMLAT,10
191,8,2.573792343175789,MAPMLAT,11
192,8,2.4716665903084096,MAPMLAT,12
193,8,2.730320783928811,MAPMLAT,13
194,8,2.3017278669711674,MAPMLAT,14
195,8,2.483109717508066,MAPMLAT,15
196,8,2.5989836916338196,MAPMLAT,16
197,8,2.4680468322726723,MAPMLAT,17
198,8,2.6013220865623574,MAPMLAT,18
199,8,2.4405795079462322,MAPMLAT,19
200,8,2.535269830664131,MAPMLAT,20
201,8,2.4409765760827544,MAPMLAT,21
202,8,1.9820750232314064,MAPMLAT,22
203,8,2.2182434686939434,MAPMLAT,23
204,8,2.2379475337118566,MAPMLAT,24
205,8,2.2674865205735597,MAPMLAT,25
206,8,2.4347122122746008,MAPMLAT,26
207,8,2.394192330641814,MAPMLAT,27
208,8,2.3416945668395597,MAPMLAT,28
209,8,2.202084167133097,MAPMLAT,29
210,9,2.3774448666965977,MAPMLAT,0
211,9,1.8931507878213123,MAPMLAT,1
212,9,2.1391247418693817,MAPMLAT,2
213,9,2.2755596946772827,MAPMLAT,3
214,9,2.0095172308742795,MAPMLAT,4
215,9,2.0855596622040817,MAPMLAT,5
216,9,2.191056726367853,MAPMLAT,6
217,9,2.3633010061848956,MAPMLAT,7
218,9,2.093625098799995,MAPMLAT,8
219,9,2.325622841414099,MAPMLAT,9
220,9,1.999448579174704,MAPMLAT,10
221,9,2.242002998030135,MAPMLAT,11
222,9,2.4572662787860406,MAPMLAT,12
223,9,1.9772080767728273,MAPMLAT,13
224,9,2.38607789157197,MAPMLAT,14
225,9,2.113443201641366,MAPMLAT,15
226,9,2.342428042086237,MAPMLAT,16
227,9,2.024177700638023,MAPMLAT,17
228,9,2.113117019797625,MAPMLAT,18
229,9,2.6457325980665085,MAPMLAT,19
230,9,2.0123657509547876,MAPMLAT,20
231,9,2.149786554433382,MAPMLAT,21
232,9,2.1840298753550864,MAPMLAT,22
233,9,1.9752794215255822,MAPMLAT,23
234,9,2.203877331727322,MAPMLAT,24
235,9,1.8237645855799545,MAPMLAT,25
236,9,2.223587052479808,MAPMLAT,26
237,9,2.1263505359035175,MAPMLAT,27
238,9,1.9320590040167507,MAPMLAT,28
239,9,2.2823836472664705,MAPMLAT,29
240,10,2.1020340978261833,MAPMLAT,0
241,10,1.8584491025848089,MAPMLAT,1
242,10,2.232968008927638,MAPMLAT,2
243,10,1.6002061482539005,MAPMLAT,3
244,10,1.6016607361143642,MAPMLAT,4
245,10,1.6382346932853813,MAPMLAT,5
246,10,1.5652194590087314,MAPMLAT,6
247,10,2.0549998653139876,MAPMLAT,7
248,10,1.8739294998314564,MAPMLAT,8
249,10,1.7294067084005453,MAPMLAT,9
250,10,1.8632833288264667,MAPMLAT,10
251,10,1.8403912696301163,MAPMLAT,11
252,10,1.7088254718537335,MAPMLAT,12
253,10,1.941816687880241,MAPMLAT,13
254,10,2.1220992249790522,MAPMLAT,14
255,10,2.1225724006526,MAPMLAT,15
256,10,1.8689870501544381,MAPMLAT,16
257,10,2.141835917740517,MAPMLAT,17
258,10,1.8257360048157283,MAPMLAT,18
259,10,1.801816293718489,MAPMLAT,19
260,10,2.0328130291105393,MAPMLAT,20
261,10,1.629436206389065,MAPMLAT,21
