Unnamed: 0,noise_level,distance,method,run
0,2,0.9109965046905314,pmlat,0
1,2,0.9207706728758728,pmlat,1
2,2,0.933973796609758,pmlat,2
3,2,0.9153423531934772,pmlat,3
4,2,0.9170579154297864,pmlat,4
5,2,0.9598290482180232,pmlat,5
6,2,0.9570525121992022,pmlat,6
7,2,0.8338838568627951,pmlat,7
8,2,0.8444198702532231,pmlat,8
9,2,0.8194978109879674,pmlat,9
10,2,0.8861643718398761,pmlat,10
11,2,0.9058593694380671,pmlat,11
12,2,0.8680807614786313,pmlat,12
13,2,0.9012088184934648,pmlat,13
14,2,0.9221150261437296,pmlat,14
15,2,0.8972631121270488,pmlat,15
16,2,0.909251202351242,pmlat,16
17,2,0.8771086073822087,pmlat,17
18,2,0.9211411405738684,pmlat,18
19,2,0.8807538122384287,pmlat,19
20,2,0.8590544907024859,pmlat,20
21,2,0.9160584376431994,pmlat,21
22,2,0.8887692327586943,pmlat,22
23,2,0.8969491651173492,pmlat,23
24,2,0.9092461929111676,pmlat,24
25,2,0.8775894956716151,pmlat,25
26,2,0.8656883761648003,pmlat,26
27,2,0.8709509019950101,pmlat,27
28,2,0.9180131635563966,pmlat,28
29,2,0.8838239883455842,pmlat,29
30,3,0.9936655645164524,pmlat,0
31,3,0.9272797684263868,pmlat,1
32,3,1.010921179660562,pmlat,2
33,3,0.9620406185108972,pmlat,3
34,3,1.015323230034329,pmlat,4
35,3,0.9111502612566152,pmlat,5
36,3,0.8767273771105564,pmlat,6
37,3,0.9760797953333679,pmlat,7
38,3,0.9827958384692422,pmlat,8
39,3,0.9898544619314794,pmlat,9
40,3,1.0087198398754829,pmlat,10
41,3,0.9222290706129044,pmlat,11
42,3,1.003820428698924,pmlat,12
43,3,0.8535719213017995,pmlat,13
44,3,0.9875185627308192,pmlat,14
45,3,1.0186167950795888,pmlat,15
46,3,0.9769472448410486,pmlat,16
47,3,0.9267388578291701,pmlat,17
48,3,0.9816391931253496,pmlat,18
49,3,0.9740163679597691,pmlat,19
50,3,0.984741090445423,pmlat,20
51,3,0.9846249163376832,pmlat,21
52,3,1.0186895543764878,pmlat,22
53,3,1.001379938844939,pmlat,23
54,3,1.0524692922841197,pmlat,24
55,3,0.9680220470558341,pmlat,25
56,3,0.8982306784460616,pmlat,26
57,3,0.9376057402248846,pmlat,27
58,3,0.8903420890597569,pmlat,28
59,3,0.8243521244939755,pmlat,29
60,4,1.031046168945608,pmlat,0
61,4,1.1301894733376658,pmlat,1
62,4,1.1804037486910566,pmlat,2
63,4,1.130659282440701,pmlat,3
64,4,1.1124294450810952,pmlat,4
65,4,1.0393804512235172,pmlat,5
66,4,0.9960609583227532,pmlat,6
67,4,1.0070699488765658,pmlat,7
68,4,0.9678519215188932,pmlat,8
69,4,1.0444122067939476,pmlat,9
70,4,0.9473258666049454,pmlat,10
71,4,1.103485188996015,pmlat,11
72,4,1.123978054515204,pmlat,12
73,4,1.1690168949944524,pmlat,13
74,4,1.1649563972388979,pmlat,14
75,4,0.9700141026205401,pmlat,15
76,4,1.0935254520397468,pmlat,16
77,4,1.0687472862546343,pmlat,17
78,4,1.1492709719314456,pmlat,18
79,4,1.079769729418879,pmlat,19
80,4,1.0275130810892976,pmlat,20
81,4,1.0861846940019209,pmlat,21
82,4,1.0919156227055875,pmlat,22
83,4,1.0895731381248273,pmlat,23
84,4,0.9398245760132125,pmlat,24
85,4,1.1216759412804056,pmlat,25
86,4,1.0766006157602248,pmlat,26
87,4,0.874683373944958,pmlat,27
88,4,1.021892998085991,pmlat,28
89,4,1.0372049283171323,pmlat,29
90,5,1.350437302135603,pmlat,0
91,5,1.2079492735240371,pmlat,1
92,5,1.1415362322092486,pmlat,2
93,5,1.0635064625081232,pmlat,3
94,5,1.183655558653888,pmlat,4
95,5,1.1530002931084584,pmlat,5
96,5,1.1046374709757516,pmlat,6
97,5,1.003255961605562,pmlat,7
98,5,1.148730835570784,pmlat,8
99,5,1.163520050211076,pmlat,9
100,5,1.0080917094385562,pmlat,10
101,5,1.1800724279308945,pmlat,11
102,5,1.1268127809456865,pmlat,12
103,5,1.161911936590361,pmlat,13
104,5,1.2608478695088006,pmlat,14
105,5,1.1026060666532636,pmlat,15
106,5,1.0331447976059425,pmlat,16
107,5,1.2371814375077534,pmlat,17
108,5,1.057300149222989,pmlat,18
109,5,1.1344991080078737,pmlat,19
110,5,1.0615353399039813,pmlat,20
111,5,1.2485460490174314,pmlat,21
112,5,1.2296933382825312,pmlat,22
113,5,1.0557073196066256,pmlat,23
114,5,1.2099842043353697,pmlat,24
115,5,1.1347514171375732,pmlat,25
116,5,1.043022813867233,pmlat,26
117,5,1.106667126792531,pmlat,27
118,5,1.230699433756557,pmlat,28
119,5,1.0831758515056826,pmlat,29
120,6,1.4356506395493351,pmlat,0
121,6,1.2704527160727526,pmlat,1
122,6,1.1764958695474022,pmlat,2
123,6,1.3153342658890192,pmlat,3
124,6,1.078810870583223,pmlat,4
125,6,1.3389006132706196,pmlat,5
126,6,1.1339426335669855,pmlat,6
127,6,1.400634406725801,pmlat,7
128,6,1.1690474669638675,pmlat,8
129,6,1.1938491809782252,pmlat,9
130,6,1.1455912953264122,pmlat,10
131,6,1.370043704637434,pmlat,11
132,6,1.3445507340129448,pmlat,12
133,6,1.1816103454396687,pmlat,13
134,6,1.3472712494210282,pmlat,14
135,6,1.2330015566505204,pmlat,15
136,6,1.1373856361316454,pmlat,16
137,6,1.3258963658146243,pmlat,17
138,6,1.1914051719403047,pmlat,18
139,6,1.2897421757704608,pmlat,19
140,6,1.292237953755944,pmlat,20
141,6,1.078282492840434,pmlat,21
142,6,1.1699003038612132,pmlat,22
143,6,1.1237769980860683,pmlat,23
144,6,1.207353823593373,pmlat,24
145,6,1.229661330601838,pmlat,25
146,6,1.1736325938534733,pmlat,26
147,6,1.1138725629655162,pmlat,27
148,6,1.3472712972445458,pmlat,28
149,6,1.2252929686260998,pmlat,29
150,7,1.1826348619306917,pmlat,0
151,7,1.4074057654923775,pmlat,1
152,7,1.4380236708706688,pmlat,2
153,7,1.4125838824222103,pmlat,3
154,7,1.1438155190047476,pmlat,4
155,7,1.384676073556163,pmlat,5
156,7,1.189497008143123,pmlat,6
157,7,1.2181031107171088,pmlat,7
158,7,1.540837593952686,pmlat,8
159,7,1.1635077796242297,pmlat,9
160,7,1.4340166473647271,pmlat,10
161,7,1.5026195610062727,pmlat,11
162,7,1.2964901120241226,pmlat,12
163,7,1.3392819682166803,pmlat,13
164,7,1.1890302135053925,pmlat,14
165,7,1.2717934820854977,pmlat,15
166,7,1.2870680748095664,pmlat,16
167,7,1.2122003608846847,pmlat,17
168,7,1.2833450146810452,pmlat,18
169,7,1.296501018415096,pmlat,19
170,7,1.3063265985154395,pmlat,20
171,7,1.24839085349998,pmlat,21
172,7,1.3402877482000148,pmlat,22
173,7,1.173778517508148,pmlat,23
174,7,1.2980288051446165,pmlat,24
175,7,1.4464807014554444,pmlat,25
176,7,1.2376336821344744,pmlat,26
177,7,1.1238151178583051,pmlat,27
178,7,1.1708101895221616,pmlat,28
179,7,1.1938870211905783,pmlat,29
180,8,1.105629445474377,pmlat,0
181,8,1.5035298065395981,pmlat,1
182,8,1.4166904659170794,pmlat,2
