,method,K,radius,noise_level,run
0,lin,3,10,1,0
1,lin,3,10,1,1
2,lin,3,10,1,2
3,lin,3,10,1,3
4,lin,3,10,1,4
5,lin,3,10,1,5
6,lin,3,10,1,6
7,lin,3,10,1,7
8,lin,3,10,1,8
9,lin,3,10,1,9
10,lin,3,10,1,10
11,lin,3,10,1,11
12,lin,3,10,1,12
13,lin,3,10,1,13
14,lin,3,10,1,14
15,lin,3,10,1,15
16,lin,3,10,1,16
17,lin,3,10,1,17
18,lin,3,10,1,18
19,lin,3,10,1,19
20,lin,3,10,1,20
21,lin,3,10,1,21
22,lin,3,10,1,22
23,lin,3,10,1,23
24,lin,3,10,1,24
25,lin,3,10,1,25
26,lin,3,10,1,26
27,lin,3,10,1,27
28,lin,3,10,1,28
29,lin,3,10,1,29
30,lin,3,10,2,0
31,lin,3,10,2,1
32,lin,3,10,2,2
33,lin,3,10,2,3
34,lin,3,10,2,4
35,lin,3,10,2,5
36,lin,3,10,2,6
37,lin,3,10,2,7
38,lin,3,10,2,8
39,lin,3,10,2,9
40,lin,3,10,2,10
41,lin,3,10,2,11
42,lin,3,10,2,12
43,lin,3,10,2,13
44,lin,3,10,2,14
45,lin,3,10,2,15
46,lin,3,10,2,16
47,lin,3,10,2,17
48,lin,3,10,2,18
49,lin,3,10,2,19
50,lin,3,10,2,20
51,lin,3,10,2,21
52,lin,3,10,2,22
53,lin,3,10,2,23
54,lin,3,10,2,24
55,lin,3,10,2,25
56,lin,3,10,2,26
57,lin,3,10,2,27
58,lin,3,10,2,28
59,lin,3,10,2,29
60,lin,3,10,3,0
61,lin,3,10,3,1
62,lin,3,10,3,2
63,lin,3,10,3,3
64,lin,3,10,3,4
65,lin,3,10,3,5
66,lin,3,10,3,6
67,lin,3,10,3,7
68,lin,3,10,3,8
69,lin,3,10,3,9
70,lin,3,10,3,10
71,lin,3,10,3,11
72,lin,3,10,3,12
73,lin,3,10,3,13
74,lin,3,10,3,14
75,lin,3,10,3,15
76,lin,3,10,3,16
77,lin,3,10,3,17
78,lin,3,10,3,18
79,lin,3,10,3,19
80,lin,3,10,3,20
81,lin,3,10,3,21
82,lin,3,10,3,22
83,lin,3,10,3,23
84,lin,3,10,3,24
85,lin,3,10,3,25
86,lin,3,10,3,26
87,lin,3,10,3,27
88,lin,3,10,3,28
89,lin,3,10,3,29
90,lin,3,10,4,0
91,lin,3,10,4,1
92,lin,3,10,4,2
93,lin,3,10,4,3
94,lin,3,10,4,4
95,lin,3,10,4,5
96,lin,3,10,4,6
97,lin,3,10,4,7
98,lin,3,10,4,8
99,lin,3,10,4,9
100,lin,3,10,4,10
101,lin,3,10,4,11
102,lin,3,10,4,12
103,lin,3,10,4,13
104,lin,3,10,4,14
105,lin,3,10,4,15
106,lin,3,10,4,16
107,lin,3,10,4,17
108,lin,3,10,4,18
109,lin,3,10,4,19
110,lin,3,10,4,20
111,lin,3,10,4,21
112,lin,3,10,4,22
113,lin,3,10,4,23
114,lin,3,10,4,24
115,lin,3,10,4,25
116,lin,3,10,4,26
117,lin,3,10,4,27
118,lin,3,10,4,28
119,lin,3,10,4,29
120,lin,3,10,5,0
121,lin,3,10,5,1
122,lin,3,10,5,2
123,lin,3,10,5,3
124,lin,3,10,5,4
125,lin,3,10,5,5
126,lin,3,10,5,6
127,lin,3,10,5,7
128,lin,3,10,5,8
129,lin,3,10,5,9
130,lin,3,10,5,10
131,lin,3,10,5,11
132,lin,3,10,5,12
133,lin,3,10,5,13
134,lin,3,10,5,14
135,lin,3,10,5,15
136,lin,3,10,5,16
137,lin,3,10,5,17
138,lin,3,10,5,18
139,lin,3,10,5,19
140,lin,3,10,5,20
141,lin,3,10,5,21
142,lin,3,10,5,22
143,lin,3,10,5,23
144,lin,3,10,5,24
145,lin,3,10,5,25
146,lin,3,10,5,26
147,lin,3,10,5,27
148,lin,3,10,5,28
149,lin,3,10,5,29
150,lin,3,10,6,0
151,lin,3,10,6,1
152,lin,3,10,6,2
153,lin,3,10,6,3
154,lin,3,10,6,4
155,lin,3,10,6,5
156,lin,3,10,6,6
157,lin,3,10,6,7
158,lin,3,10,6,8
159,lin,3,10,6,9
160,lin,3,10,6,10
161,lin,3,10,6,11
162,lin,3,10,6,12
163,lin,3,10,6,13
164,lin,3,10,6,14
165,lin,3,10,6,15
166,lin,3,10,6,16
167,lin,3,10,6,17
168,lin,3,10,6,18
169,lin,3,10,6,19
170,lin,3,10,6,20
171,lin,3,10,6,21
172,lin,3,10,6,22
173,lin,3,10,6,23
174,lin,3,10,6,24
175,lin,3,10,6,25
176,lin,3,10,6,26
177,lin,3,10,6,27
178,lin,3,10,6,28
179,lin,3,10,6,29
180,lin,3,10,7,0
181,lin,3,10,7,1
182,lin,3,10,7,2
183,lin,3,10,7,3
184,lin,3,10,7,4
185,lin,3,10,7,5
186,lin,3,10,7,6
187,lin,3,10,7,7
188,lin,3,10,7,8
189,lin,3,10,7,9
190,lin,3,10,7,10
191,lin,3,10,7,11
192,lin,3,10,7,12
193,lin,3,10,7,13
194,lin,3,10,7,14
195,lin,3,10,7,15
196,lin,3,10,7,16
197,lin,3,10,7,17
198,lin,3,10,7,18
199,lin,3,10,7,19
200,lin,3,10,7,20
201,lin,3,10,7,21
202,lin,3,10,7,22
203,lin,3,10,7,23
204,lin,3,10,7,24
205,lin,3,10,7,25
206,lin,3,10,7,26
207,lin,3,10,7,27
208,lin,3,10,7,28
209,lin,3,10,7,29
210,lin,3,10,8,0
211,lin,3,10,8,1
212,lin,3,10,8,2
213,lin,3,10,8,3
214,lin,3,10,8,4
215,lin,3,10,8,5
216,lin,3,10,8,6
217,lin,3,10,8,7
218,lin,3,10,8,8
219,lin,3,10,8,9
220,lin,3,10,8,10
221,lin,3,10,8,11
222,lin,3,10,8,12
223,lin,3,10,8,13
224,lin,3,10,8,14
225,lin,3,10,8,15
226,lin,3,10,8,16
227,lin,3,10,8,17
228,lin,3,10,8,18
229,lin,3,10,8,19
230,lin,3,10,8,20
231,lin,3,10,8,21
232,lin,3,10,8,22
233,lin,3,10,8,23
234,lin,3,10,8,24
235,lin,3,10,8,25
236,lin,3,10,8,26
237,lin,3,10,8,27
238,lin,3,10,8,28
239,lin,3,10,8,29
240,lin,3,10,9,0
241,lin,3,10,9,1
242,lin,3,10,9,2
243,lin,3,10,9,3
244,lin,3,10,9,4
245,lin,3,10,9,5
246,lin,3,10,9,6
247,lin,3,10,9,7
248,lin,3,10,9,8
249,lin,3,10,9,9
250,lin,3,10,9,10
251,lin,3,10,9,11
252,lin,3,10,9,12
253,lin,3,10,9,13
254,lin,3,10,9,14
255,lin,3,10,9,15
256,lin,3,10,9,16
257,lin,3,10,9,17
258,lin,3,10,9,18
259,lin,3,10,9,19
260,lin,3,10,9,20
261,lin,3,10,9,21
262,lin,3,10,9,22
263,lin,3,10,9,23
264,lin,3,10,9,24
265,lin,3,10,9,25
266,lin,3,10,9,26
267,lin,3,10,9,27
268,lin,3,10,9,28
269,lin,3,10,9,29
270,lin,3,10,10,0
271,lin,3,10,10,1
272,lin,3,10,10,2
273,lin,3,10,10,3
274,lin,3,10,10,4
275,lin,3,10,10,5
276,lin,3,10,10,6
277,lin,3,10,10,7
278,lin,3,10,10,8
279,lin,3,10,10,9
280,lin,3,10,10,10
281,lin,3,10,10,11
282,lin,3,10,10,12
283,lin,3,10,10,13
284,lin,3,10,10,14
285,lin,3,10,10,15
286,lin,3,10,10,16
287,lin,3,10,10,17
288,lin,3,10,10,18
289,lin,3,10,10,19
290,lin,3,10,10,20
291,lin,3,10,10,21
292,lin,3,10,10,22
293,lin,3,10,10,23
294,lin,3,10,10,24
295,lin,3,10,10,25
296,lin,3,10,10,26
297,lin,3,10,10,27
298,lin,3,10,10,28
299,lin,3,10,10,29
300,lin,3,20,1,0
